 name     A    Z    abundance
ba132   132   56 1.552665E-11
ba134   134   56 3.781041E-10
ba135   135   56 1.049171E-09
ba136   136   56 1.270721E-09
ba137   137   56 1.808165E-09
ba138   138   56 1.175972E-08
la138   138   57 1.446781E-12
la139   139   57 1.597858E-09
ce136   136   58 7.482704E-12
ce138   138   58 1.024234E-11
ce140   140   58 3.686810E-09
ce142   142   58 4.707896E-10
pr141   141   59 6.305953E-10
nd142   142   60 8.371865E-10
nd143   143   60 3.765982E-10
nd144   144   60 7.566716E-10
nd145   145   60 2.766446E-10
nd146   146   60 5.431384E-10
nd148   148   60 1.865666E-10
nd150   150   60 1.847899E-10
sm144   144   62 3.012404E-11
sm147   147   62 1.506198E-10
sm148   148   62 1.124159E-10
sm149   149   62 1.392390E-10
sm150   150   62 7.527796E-11
sm152   152   62 2.769685E-10
sm154   154   62 2.388457E-10
eu151   151   63 1.817869E-10
eu153   153   63 2.019687E-10
gd152   152   64 2.645030E-12
gd154   154   64 2.938419E-11
gd155   155   64 1.999544E-10
gd156   156   64 2.777947E-10
gd157   157   64 2.120828E-10
gd158   158   64 3.461502E-10
gd160   160   64 3.053080E-10
tb159   159   65 2.582316E-10
dy156   156   66 9.198806E-13
dy158   158   66 1.582215E-12
dy160   160   66 3.933083E-11
dy161   161   66 3.216954E-10
dy162   162   66 4.366515E-10
dy163   163   66 4.293524E-10
dy164   164   66 4.846993E-10
ho165   165   67 3.785443E-10
er162   162   68 1.445907E-12
er164   164   68 1.680632E-11
er166   166   68 3.636988E-10
er167   167   68 2.473751E-10
er168   168   68 2.923820E-10
er170   170   68 1.625924E-10
tm169   169   69 1.731944E-10
yb168   168   70 1.306034E-12
yb170   170   70 3.244131E-11
yb171   171   70 1.561890E-10
yb172   172   70 2.433234E-10
yb173   173   70 1.814292E-10
yb174   174   70 3.640934E-10
yb176   176   70 1.466179E-10
lu175   175   71 1.635713E-10
lu176   176   71 4.744467E-12
hf174   174   72 1.125164E-12
hf176   176   72 3.682852E-11
hf177   177   72 1.314166E-10
hf178   178   72 1.954784E-10
hf179   179   72 9.628037E-11
hf180   180   72 2.546594E-10
ta180   180   73 1.164024E-14
ta181   181   73 9.735762E-11
w180    180   74 7.515538E-13
w182    182   74 1.662509E-10
w183    183   74 9.186480E-11
w184    184   74 1.974778E-10
w186    186   74 1.820634E-10
re185   185   75 9.287043E-11
re187   187   75 1.708264E-10
os184   184   76 6.390309E-13
os186   186   76 5.131228E-11
os187   187   76 4.097840E-11
os188   188   76 4.414403E-10
os189   189   76 5.335582E-10
os190   190   76 8.699109E-10
os192   192   76 1.361540E-09
ir191   191   77 1.152816E-09
ir193   193   77 1.978291E-09
pt190   190   78 8.699177E-13
pt192   192   78 4.830914E-11
pt194   194   78 2.082257E-09
pt195   195   78 2.141768E-09
pt196   196   78 1.595859E-09
pt198   198   78 4.649550E-10
au197   197   79 9.665152E-10
hg196   196   80 3.411902E-12
hg198   198   80 2.277238E-10
hg199   199   80 3.886870E-10
hg200   200   80 5.269597E-10
hg201   201   80 3.047531E-10
hg202   202   80 7.016240E-10
hg204   204   80 1.623267E-10
tl203   203   81 2.743172E-10
tl205   205   81 6.645319E-10
pb204   204   82 3.470475E-10
pb206   206   82 3.270616E-09
pb207   207   82 3.603595E-09
pb208   208   82 1.044313E-08
bi209   209   83 7.259751E-10
th232   232   90 2.860062E-10
u234    234   92 2.884749E-15
u235    235   92 3.564226E-11
u238    238   92 1.115542E-10
